---------------------------------------------------
                  Tie Point Pixel Residuals        
===================================================
PointId    Av.      Dev.        Nb.Obs.     State  
556         338.04   510.83     ( 6/ 6)      Used -
557         102.98    20.09     ( 6/ 6)      Used -
558          68.17    40.80     ( 6/ 6)      Used -
559          77.87    37.89     ( 6/ 6)      Used -
560         654.17   516.42     ( 6/ 6)      Used -
561         491.39   282.55     ( 6/ 6)      Used -
562         153.81   225.11     ( 6/ 6)      Used -
563          98.62    61.62     ( 6/ 6)      Used -
564          81.44    45.64     ( 6/ 6)      Used -
565          74.53    25.54     ( 6/ 6)      Used -
566          58.72    38.20     ( 6/ 6)      Used -
567         735.61   859.81     ( 6/ 6)      Used -
568        1714.00   814.10     ( 6/ 6)      Used -
569          50.61    11.32     ( 6/ 6)      Used -
570         908.41   906.94     ( 6/ 6)      Used -
571         247.95   475.28     ( 6/ 6)      Used -
572         293.95   573.86     ( 6/ 6)      Used -
573          60.80    34.16     ( 6/ 6)      Used -
574          92.05    29.01     ( 6/ 6)      Used -
